jurisdiction,year_month,offender_profiles,arrestee,forensic_profiles,investigations_aided,ndis_labs
Alabama,2001-07-01,0,NA,0,88,4
Alabama,2001-08-01,0,NA,0,88,4
Alabama,2001-09-01,0,NA,0,88,4
Alabama,2001-11-01,0,NA,0,88,4
Alabama,2002-06-01,0,NA,0,126,4
Alabama,2002-10-01,0,NA,0,126,4
Alabama,2003-06-01,2507,NA,22,299,4
Alabama,2003-12-01,3105,NA,23,299,4
Alabama,2004-02-01,9231,NA,24,299,4
Alabama,2004-04-01,16656,NA,NA,434,4
Alabama,2004-06-01,19161,NA,36,434,4
Alabama,2004-07-01,19161,NA,36,434,4
Alabama,2004-08-01,20304,NA,90,434,4
Alabama,2004-09-01,NA,NA,241,434,4
Alabama,2004-10-01,NA,NA,241,434,4
Alabama,2004-11-01,NA,NA,241,434,4
Alabama,2004-12-01,20294,NA,241,434,4
Alabama,2005-01-01,31542,NA,676,434,4
Alabama,2005-02-01,31542,NA,676,434,4
Alabama,2005-03-01,31542,NA,676,434,4
Alabama,2005-04-01,37561,NA,850,434,4
Alabama,2005-05-01,43419,NA,1024,434,4
Alabama,2005-06-01,51010,NA,1139,434,4
Alabama,2005-07-01,53536,NA,1185,434,4
Alabama,2005-08-01,61166,NA,1215,434,4
Alabama,2005-09-01,72856,NA,1248,434,4
Alabama,2005-10-01,78613,NA,1372,434,4
Alabama,2005-11-01,78613,NA,1372,434,4
Alabama,2005-12-01,84188,NA,1376,1038,4
Alabama,2006-01-01,84188,NA,1376,1038,4
Alabama,2006-02-01,99387,NA,1590,1038,4
Alabama,2006-03-01,109858,NA,1768,1038,4
Alabama,2006-04-01,109858,NA,1768,1038,4
Alabama,2006-05-01,109940,NA,1792,1038,4
Alabama,2006-06-01,110237,NA,1840,1038,4
Alabama,2006-07-01,110237,NA,1840,1197,4
Alabama,2006-08-01,110237,NA,1840,1197,4
Alabama,2006-09-01,114400,NA,1971,1197,4
Alabama,2006-10-01,120701,NA,2162,1197,4
Alabama,2006-11-01,120701,NA,2162,1282,4
Alabama,2006-12-01,123566,NA,2217,1319,4
Alabama,2007-01-01,123566,NA,2217,1319,4
Alabama,2007-02-01,128065,NA,2336,1392,4
Alabama,2007-03-01,131948,NA,2488,1427,4
Alabama,2007-04-01,135634,NA,2528,1505,4
Alabama,2007-05-01,138925,NA,2633,1565,4
Alabama,2007-06-01,138925,NA,2633,1594,4
Alabama,2007-07-01,144481,NA,2800,1633,4
Alabama,2007-08-01,144481,NA,2800,1633,4
Alabama,2007-09-01,146118,NA,2907,1751,4
Alabama,2007-10-01,147576,NA,3055,1784,4
Alabama,2007-11-01,147576,NA,3055,1784,4
Alabama,2007-12-01,148791,NA,3184,1784,4
Alabama,2008-01-01,148791,NA,3184,1784,4
Alabama,2008-02-01,148791,NA,3184,1784,4
Alabama,2008-03-01,148791,NA,3184,1784,4
Alabama,2008-04-01,148791,NA,3184,1784,4
Alabama,2008-05-01,153069,NA,3306,1948,4
Alabama,2008-06-01,157932,NA,3663,2127,4
Alabama,2008-07-01,NA,NA,NA,NA,4
Alabama,2008-08-01,160283,NA,3743,2154,4
Alabama,2008-09-01,161341,NA,3805,2179,4
Alabama,2008-10-01,162278,NA,3866,2404,4
Alabama,2008-11-01,163656,NA,3944,NA,4
Alabama,2008-12-01,165683,NA,4072,2265,4
Alabama,2009-01-01,165683,NA,4072,2302,4
Alabama,2009-02-01,167489,NA,4170,2353,4
Alabama,2009-03-01,169447,NA,4292,2353,4
Alabama,2009-04-01,169611,NA,4326,2480,4
Alabama,2009-05-01,171063,NA,4449,2513,4
Alabama,2009-06-01,171909,NA,4522,2590,4
Alabama,2009-07-01,172893,NA,4618,2641,4
Alabama,2009-08-01,NA,NA,NA,NA,4
Alabama,2009-11-01,175965,NA,5035,2828,4
Alabama,2009-12-01,177200,NA,5193,2883,4
Alabama,2010-01-01,178438,NA,5302,2972,4
Alabama,2010-02-01,179080,NA,5455,3016,4
Alabama,2010-04-01,180581,NA,5758,3119,4
Alabama,2010-05-01,181676,NA,5859,3146,4
Alabama,2010-06-01,182232,NA,5970,3218,4
Alabama,2010-07-01,183963,NA,6066,3262,4
Alabama,2010-08-01,NA,NA,6243,3338,4
Alabama,2010-11-01,186738,NA,6568,3497,4
Alabama,2010-12-01,188257,NA,6685,3552,4
Alabama,2011-02-01,190422,NA,6876,3642,4
Alabama,2011-07-01,194812,NA,7487,3888,4
Alabama,2011-08-01,196385,NA,7655,4007,4
Alabama,2011-09-01,197027,NA,7816,4028,4
Alabama,2011-10-01,197347,NA,7955,4090,4
Alabama,2012-05-01,203312,3509,8888,4516,4
Alabama,2012-06-01,203380,3509,8989,4516,4
Alabama,2012-07-01,204765,3627,9070,4516,4
Alabama,2012-08-01,205481,3755,9224,4669,4
Alabama,2012-09-01,206433,3886,9354,4669,4
Alabama,2012-11-01,207733,4069,9511,4710,4
Alabama,2012-12-01,208445,4137,9705,4784,4
Alabama,2013-01-01,208746,4227,9882,4791,4
Alabama,2013-03-01,210212,4795,10070,4914,4
Alabama,2013-04-01,210885,5205,10187,4970,4
Alabama,2013-06-01,212115,6026,10312,4996,4
Alabama,2013-07-01,212946,6694,10518,5086,4
Alabama,2013-08-01,213392,6937,10686,5127,4
Alabama,2013-11-01,215602,8235,11091,5233,4
Alabama,2013-12-01,216463,8530,11178,5342,4
Alabama,2014-05-01,219751,10377,11792,5649,4
Alabama,2014-08-01,220152,10718,12159,5758,4
Alabama,2014-09-01,221505,11324,12486,5901,4
Alabama,2014-10-01,NA,11743,12569,5901,4
Alabama,2014-11-01,222930,12081,12662,5985,4
Alabama,2014-12-01,223624,12382,12777,6119,4
Alabama,2015-01-01,224304,12880,12852,6191,4
Alabama,2015-02-01,224806,13147,12913,6232,4
Alabama,2015-03-01,225508,13643,13005,6266,4
Alabama,2015-04-01,226110,13972,13059,6305,4
Alabama,2015-05-01,226943,14321,13107,6305,4
Alabama,2015-06-01,227649,14886,13137,6365,4
Alabama,2015-09-01,229415,15774,13565,6490,4
Alabama,2015-11-01,230560,16306,13706,6568,4
Alabama,2015-12-01,231114,16574,13793,6620,4
Alabama,2016-01-01,231466,16791,14146,6620,4
Alabama,2016-02-01,232188,17329,14250,6717,4
Alabama,2016-03-01,233078,18811,14320,6781,4
Alabama,2016-05-01,234076,21577,14495,6917,4
Alabama,2016-07-01,234835,23398,14831,6949,4
Alabama,2016-08-01,235281,25083,14907,7109,4
Alabama,2016-11-01,236811,28469,15241,7263,4
Alabama,2016-12-01,237259,29823,15456,7331,4
Alabama,2017-02-01,237849,32053,15631,7376,4
Alabama,2017-03-01,237849,32053,15631,7376,4
Alabama,2017-04-01,238793,35097,15987,7376,4
Alabama,2017-05-01,239128,35979,16101,7376,4
Alabama,2017-07-01,240200,38664,16270,7731,4
Alabama,2017-08-01,240530,39982,16467,7731,4
Alabama,2017-09-01,240854,41333,16538,7731,4
Alabama,2017-10-01,241339,42556,16657,7731,4
Alabama,2017-12-01,241815,44352,16914,7732,4
Alabama,2018-01-01,242512,45475,17053,7732,4
Alabama,2018-03-01,243204,47391,17372,7732,4
Alabama,2018-04-01,243614,48472,17436,7732,4
Alabama,2018-05-01,243977,49687,17572,7732,4
Alabama,2018-07-01,244593,51478,17781,7732,4
Alabama,2018-09-01,245195,53325,18002,7732,4
Alabama,2018-10-01,245524,54424,18111,7732,4
Alabama,2018-12-01,246058,55798,18341,7732,4
Alabama,2019-01-01,246204,56774,18409,7732,4
Alabama,2019-02-01,246543,57629,18494,7775,4
Alabama,2019-03-01,246863,58593,18648,7775,4
Alabama,2019-04-01,247095,59490,18752,7775,4
Alabama,2019-05-01,247358,60410,18847,7775,4
Alabama,2019-06-01,247551,61319,18964,7775,4
Alabama,2019-08-01,248258,63431,19271,7775,4
Alabama,2019-09-01,248519,64125,19353,7830,4
Alabama,2019-10-01,248764,65028,19443,7830,4
Alabama,2019-11-01,249258,65773,19598,7830,4
Alabama,2020-01-01,250014,67496,19766,7907,4
Alabama,2020-02-01,250390,68568,20010,7993,4
Alabama,2020-03-01,250617,69209,20078,7993,4
Alabama,2020-04-01,250677,69553,20162,7993,4
Alabama,2020-05-01,250699,69971,20355,7993,4
Alabama,2020-06-01,250754,70339,20424,8092,4
Alabama,2020-07-01,250901,70736,20560,8092,4
Alabama,2020-09-01,251125,72024,20747,8148,4
Alabama,2020-10-01,251321,72691,20913,8148,4
Alabama,2020-11-01,251558,73382,20989,8148,4
Alabama,2020-12-01,251798,73980,21105,8148,4
Alabama,2021-01-01,252092,74602,21245,8148,4
Alabama,2021-02-01,252275,75354,21374,8239,4
Alabama,2021-03-01,252569,75992,21485,8392,4
Alabama,2021-04-01,252787,76773,21495,8457,4
Alabama,2021-06-01,253176,78374,21752,8560,4
Alabama,2021-07-01,253438,79259,21861,8649,4
Alabama,2021-08-01,253692,79997,21883,8711,4
Alabama,2021-10-01,254086,81240,22134,8711,4
Alabama,2022-11-01,257522,89794,23236,9231,4
Alabama,2023-08-01,259907,97145,23973,9523,4
Alabama,2024-02-01,261574,101000,24574,9868,4
Alabama,2024-10-01,264049,107520,25243,10230,4
Alabama,2024-11-01,264366,108006,25370,10322,4
Alabama,2025-01-01,264940,109414,25483,10384,4
Alabama,2025-03-01,265617,110873,25601,10489,4
Alabama,2025-04-01,265962,111872,25685,10552,4
Alabama,2025-06-01,266627,113509,25839,10663,4
Alaska,2001-08-01,792,NA,21,1,1
Alaska,2001-09-01,792,NA,21,1,1
Alaska,2001-11-01,1579,NA,25,1,1
Alaska,2001-12-01,1761,NA,33,3,1
Alaska,2002-02-01,1761,NA,33,3,1
Alaska,2002-06-01,2927,NA,53,6,1
Alaska,2002-10-01,3128,NA,69,15,1
Alaska,2002-12-01,3137,NA,71,16,1
Alaska,2003-02-01,3233,NA,75,22,1
Alaska,2003-08-01,NA,NA,158,42,1
Alaska,2003-12-01,NA,NA,187,47,1
Alaska,2004-02-01,3175,NA,204,48,1
Alaska,2004-04-01,3177,NA,NA,49,1
Alaska,2004-06-01,3178,NA,NA,52,1
Alaska,2004-07-01,3178,NA,164,52,1
Alaska,2004-08-01,3182,NA,184,56,1
Alaska,2004-09-01,3189,NA,194,56,1
Alaska,2004-10-01,3190,NA,212,61,1
Alaska,2004-11-01,3190,NA,212,61,1
Alaska,2004-12-01,3190,NA,212,61,1
Alaska,2005-01-01,3533,NA,229,71,1
Alaska,2005-02-01,3533,NA,229,71,1
Alaska,2005-03-01,4023,NA,238,76,1
Alaska,2005-04-01,4023,NA,243,76,1
Alaska,2005-05-01,5046,NA,255,83,1
Alaska,2005-06-01,6573,NA,259,99,1
Alaska,2005-07-01,8512,NA,261,108,1
Alaska,2005-08-01,9697,NA,NA,123,1
Alaska,2005-09-01,9697,NA,NA,123,1
Alaska,2005-10-01,9697,NA,228,127,1
Alaska,2005-11-01,9697,NA,228,127,1
Alaska,2005-12-01,10027,NA,232,139,1
Alaska,2006-01-01,10027,NA,232,139,1
Alaska,2006-02-01,10027,NA,234,140,1
Alaska,2006-03-01,10030,NA,238,142,1
Alaska,2006-04-01,10030,NA,238,142,1
Alaska,2006-05-01,10030,NA,239,145,1
Alaska,2006-06-01,NA,NA,250,147,1
Alaska,2006-07-01,10284,NA,269,155,1
Alaska,2006-08-01,NA,NA,NA,158,1
Alaska,2006-09-01,10571,NA,NA,163,1
Alaska,2006-10-01,10880,NA,270,171,1
Alaska,2006-11-01,10880,NA,271,172,1
Alaska,2006-12-01,10884,NA,282,180,1
Alaska,2007-01-01,10884,NA,282,180,1
Alaska,2007-02-01,10959,NA,339,190,1
Alaska,2007-03-01,10960,NA,571,194,1
Alaska,2007-04-01,10961,NA,586,198,1
Alaska,2007-05-01,10961,NA,604,200,1
Alaska,2007-06-01,10961,NA,605,200,1
Alaska,2007-07-01,10961,NA,621,202,1
Alaska,2007-08-01,10961,NA,621,202,1
Alaska,2007-09-01,10965,NA,628,206,1
Alaska,2007-10-01,10965,NA,634,210,1
Alaska,2007-11-01,10965,NA,634,210,1
Alaska,2007-12-01,10965,NA,647,212,1
Alaska,2008-01-01,10965,NA,647,212,1
Alaska,2008-02-01,10965,NA,647,212,1
Alaska,2008-03-01,10965,NA,647,212,1
Alaska,2008-04-01,10965,NA,647,212,1
Alaska,2008-05-01,NA,NA,677,214,1
Alaska,2008-06-01,11593,NA,682,226,1
Alaska,2008-07-01,NA,NA,685,NA,1
Alaska,2008-08-01,11919,NA,692,226,1
Alaska,2008-09-01,11919,NA,695,228,1
Alaska,2008-10-01,11920,NA,699,230,1
Alaska,2008-11-01,11920,NA,704,NA,1
Alaska,2008-12-01,13230,NA,706,228,1
Alaska,2009-01-01,13950,NA,NA,237,1
Alaska,2009-02-01,14785,NA,706,244,1
Alaska,2009-03-01,15050,NA,706,244,1
Alaska,2009-04-01,15730,NA,707,244,1
Alaska,2009-05-01,16064,NA,707,248,1
Alaska,2009-06-01,16438,NA,714,254,1
Alaska,2009-07-01,16685,NA,720,255,1
Alaska,2009-08-01,NA,NA,NA,NA,1
Alaska,2009-11-01,16887,NA,747,262,1
Alaska,2009-12-01,17082,NA,759,266,1
Alaska,2010-01-01,17112,NA,765,269,1
Alaska,2010-02-01,17397,NA,778,271,1
Alaska,2010-04-01,18383,NA,806,282,1
Alaska,2010-05-01,18739,NA,812,284,1
Alaska,2010-06-01,19130,NA,824,287,1
Alaska,2010-07-01,19852,NA,838,291,1
Alaska,2010-08-01,20287,NA,847,304,1
Alaska,2010-11-01,21540,NA,872,316,1
Alaska,2010-12-01,21650,NA,876,325,1
Alaska,2011-02-01,21713,NA,891,328,1
Alaska,2011-07-01,21864,NA,945,345,1
Alaska,2011-08-01,21864,NA,957,352,1
Alaska,2011-09-01,21981,NA,974,354,1
Alaska,2011-10-01,21997,NA,975,362,1
Alaska,2012-05-01,22139,17425,1071,386,1
Alaska,2012-06-01,22197,17680,1071,393,1
Alaska,2012-07-01,22199,17680,1094,393,1
Alaska,2012-08-01,22199,NA,1106,406,1
Alaska,2012-09-01,22199,17679,1109,409,1
Alaska,2012-11-01,22200,17679,1133,421,1
Alaska,2012-12-01,22200,17679,1138,423,1
Alaska,2013-01-01,22200,17679,1149,429,1
Alaska,2013-03-01,22222,17852,1168,438,1
Alaska,2013-04-01,22222,17852,1183,439,1
Alaska,2013-06-01,22332,18781,1204,442,1
Alaska,2013-07-01,22332,NA,1208,448,1
Alaska,2013-08-01,22485,19919,1211,454,1
Alaska,2013-11-01,22596,20656,1235,466,1
Alaska,2013-12-01,22596,20656,1247,468,1
Alaska,2014-05-01,22730,21782,1281,483,1
Alaska,2014-08-01,22760,22254,1308,488,1
Alaska,2014-09-01,22760,22254,1314,491,1
Alaska,2014-10-01,22768,22459,1314,492,1
Alaska,2014-11-01,22776,22557,1320,495,1
Alaska,2014-12-01,22776,22557,1320,495,1
Alaska,2015-01-01,22797,22764,1332,498,1
Alaska,2015-02-01,22816,22920,1342,498,1
Alaska,2015-03-01,22883,23250,1362,506,1
Alaska,2015-04-01,22931,23535,1372,512,1
Alaska,2015-05-01,22975,23817,1391,512,1
Alaska,2015-06-01,23044,24422,1397,519,1
Alaska,2015-09-01,23231,26077,1433,535,1
Alaska,2015-11-01,23277,26789,1455,544,1
Alaska,2015-12-01,23354,27205,1476,550,1
Alaska,2016-01-01,23395,27678,1485,560,1
Alaska,2016-02-01,23601,28733,1499,572,1
Alaska,2016-03-01,23654,28930,1529,577,1
Alaska,2016-11-01,23939,30573,1690,661,1
Alaska,2016-12-01,23955,30642,1714,664,1
Alaska,2017-02-01,23985,30860,1728,675,1
Alaska,2017-03-01,23985,30860,1728,675,1
Alaska,2017-04-01,24062,31294,1750,687,1
Alaska,2017-05-01,24134,31721,1773,694,1
Alaska,2017-07-01,24172,32105,1795,701,1
Alaska,2017-08-01,24189,32167,1798,705,1
Alaska,2017-09-01,24250,32593,1804,707,1
Alaska,2017-10-01,24250,32593,1821,721,1
Alaska,2017-12-01,24273,32911,1855,724,1
Alaska,2018-01-01,24368,33121,1857,727,1
Alaska,2018-03-01,24429,33814,1890,737,1
Alaska,2018-04-01,24500,34508,1899,743,1
Alaska,2018-05-01,24505,34588,1913,745,1
Alaska,2018-07-01,24523,34737,1925,757,1
Alaska,2018-09-01,24566,35339,1938,767,1
Alaska,2018-10-01,24577,35495,1954,772,1
Alaska,2018-12-01,24629,36279,2008,773,1
Alaska,2019-01-01,24632,36293,2014,781,1
Alaska,2019-02-01,24642,36448,2037,795,1
Alaska,2019-03-01,24646,36611,2072,843,1
Alaska,2019-04-01,24673,37080,2075,853,1
Alaska,2019-05-01,24741,38175,2122,877,1
Alaska,2019-06-01,24744,38256,2138,879,1
Alaska,2019-08-01,24785,39039,2148,897,1
Alaska,2019-09-01,24800,39354,2166,897,1
Alaska,2019-10-01,24804,39527,2180,904,1
Alaska,2019-11-01,24814,39847,2195,910,1
Alaska,2020-01-01,24840,40417,2251,944,1
Alaska,2020-02-01,24840,40417,2304,951,1
Alaska,2020-03-01,NA,40417,2339,982,1
Alaska,2020-04-01,24904,40852,2350,983,1
Alaska,2020-05-01,24905,40852,2402,1005,1
Alaska,2020-06-01,24949,41306,2452,1056,1
Alaska,2020-07-01,24966,41714,2456,1056,1
Alaska,2020-09-01,24982,42180,2538,1114,1
Alaska,2020-10-01,24990,42326,2592,1133,1
Alaska,2020-11-01,24993,42426,2596,1154,1
Alaska,2020-12-01,24995,42500,2636,1178,1
Alaska,2021-01-01,25006,42654,2654,1194,1
Alaska,2021-02-01,25034,43125,2663,1201,1
Alaska,2021-03-01,25034,43136,2675,1218,1
Alaska,2021-04-01,25036,43138,2700,1240,1
Alaska,2021-06-01,25063,43522,2742,1301,1
Alaska,2021-07-01,25107,43984,2827,1325,1
Alaska,2021-08-01,25143,44279,2837,1353,1
Alaska,2021-10-01,25205,45029,2901,1391,1
Alaska,2022-11-01,26296,48453,3615,1754,1
Alaska,2023-08-01,26808,50901,3765,1846,1
Alaska,2024-02-01,26997,52149,3866,1888,1
Alaska,2024-10-01,27206,53607,3950,1937,1
Alaska,2024-11-01,27223,53755,3950,1939,1
Alaska,2025-01-01,27308,54512,3971,1953,1
Alaska,2025-03-01,27371,54956,4000,1973,1
Alaska,2025-04-01,27384,55111,4018,1980,1
Alaska,2025-06-01,27432,55567,4066,1999,1
Arizona,2001-07-01,8688,NA,615,35,7
Arizona,2001-08-01,8728,NA,664,40,7
Arizona,2001-09-01,8728,NA,664,40,7
Arizona,2001-11-01,10269,NA,725,47,7
Arizona,2001-12-01,10269,NA,815,NA,7
Arizona,2002-10-01,14268,NA,1248,97,7
Arizona,2002-12-01,14787,NA,1290,102,7
Arizona,2003-02-01,15232,NA,1340,106,7
Arizona,2003-08-01,16339,NA,1742,165,7
Arizona,2003-12-01,16458,NA,1996,219,7
Arizona,2004-02-01,17598,NA,2064,235,7
Arizona,2004-04-01,18815,NA,2207,256,7
Arizona,2004-06-01,19080,NA,2265,266,7
Arizona,2004-07-01,19080,NA,2265,266,7
Arizona,2004-08-01,21842,NA,2396,295,7
Arizona,2004-09-01,22629,NA,2539,330,7
Arizona,2004-10-01,23097,NA,2605,363,7
Arizona,2004-11-01,23097,NA,2605,363,7
Arizona,2004-12-01,23097,NA,2605,363,7
Arizona,2005-01-01,25724,NA,2651,430,7
Arizona,2005-02-01,25724,NA,2651,430,7
Arizona,2005-03-01,27366,NA,2782,470,7
Arizona,2005-04-01,31376,NA,2842,484,7
Arizona,2005-05-01,41751,NA,3078,576,7
Arizona,2005-06-01,48748,NA,3213,637,7
Arizona,2005-07-01,51859,NA,3407,689,7
Arizona,2005-08-01,54010,NA,3538,732,7
Arizona,2005-09-01,59170,NA,3661,771,7
Arizona,2005-10-01,62423,NA,3749,805,7
Arizona,2005-11-01,62423,NA,3749,805,7
Arizona,2005-12-01,68932,NA,3900,870,7
Arizona,2006-01-01,68932,NA,3900,870,7
Arizona,2006-02-01,70794,NA,3946,900,7
Arizona,2006-03-01,74258,NA,4075,941,7
Arizona,2006-04-01,74258,NA,4075,941,7
Arizona,2006-05-01,76246,NA,4182,970,7
Arizona,2006-06-01,82144,NA,4253,1018,7
Arizona,2006-07-01,85128,NA,4369,1052,7
Arizona,2006-08-01,87650,NA,4516,1127,7
Arizona,2006-09-01,89737,NA,4604,1162,7
Arizona,2006-10-01,93384,NA,4708,1214,7
Arizona,2006-11-01,97097,NA,4857,1298,7
Arizona,2006-12-01,98571,NA,4988,1353,7
Arizona,2007-01-01,98571,NA,4988,1353,7
Arizona,2007-02-01,105802,NA,5223,1449,7
Arizona,2007-03-01,107770,NA,5298,1474,7
Arizona,2007-04-01,110768,NA,5390,1512,7
Arizona,2007-05-01,113335,NA,5568,1590,7
Arizona,2007-06-01,116998,NA,5679,1648,7
Arizona,2007-07-01,118495,NA,5835,1718,7
Arizona,2007-08-01,118495,NA,5835,1718,7
Arizona,2007-09-01,120201,NA,5996,1777,7
Arizona,2007-10-01,121552,NA,6103,1820,7
Arizona,2007-11-01,121552,NA,6103,1820,7
Arizona,2007-12-01,121985,NA,6319,1908,7
Arizona,2008-01-01,121985,NA,6319,1908,7
Arizona,2008-02-01,121985,NA,6319,1908,7
Arizona,2008-03-01,121985,NA,6319,1908,7
Arizona,2008-04-01,121985,NA,6319,1908,7
Arizona,2008-05-01,123337,NA,6646,2046,7
Arizona,2008-06-01,126980,NA,6830,2150,7
Arizona,2008-07-01,NA,NA,NA,NA,7
Arizona,2008-08-01,132686,NA,7064,2245,7
Arizona,2008-09-01,136114,NA,7141,2297,7
Arizona,2008-10-01,136243,NA,7188,2349,7
Arizona,2008-11-01,137639,NA,7281,2365,7
Arizona,2008-12-01,139891,NA,7379,2398,7
Arizona,2009-01-01,151376,NA,7529,2544,7
Arizona,2009-02-01,164235,NA,7629,2671,7
Arizona,2009-03-01,167885,NA,7787,2671,7
Arizona,2009-04-01,168495,NA,7966,2865,7
Arizona,2009-05-01,169293,NA,8070,2905,7
Arizona,2009-06-01,169787,NA,8149,2962,7
Arizona,2009-07-01,171178,NA,8257,3023,7
Arizona,2009-08-01,NA,NA,NA,NA,7
Arizona,2009-11-01,173236,NA,8593,3205,7
Arizona,2009-12-01,173797,NA,8688,3263,7
Arizona,2010-01-01,173994,NA,8781,3302,7
Arizona,2010-02-01,174492,NA,8840,3329,7
Arizona,2010-04-01,176086,NA,8994,3390,7
Arizona,2010-05-01,176592,NA,9065,3431,7
Arizona,2010-06-01,177377,NA,9150,3482,7
Arizona,2010-07-01,177780,NA,9315,3564,7
Arizona,2010-08-01,178774,NA,9424,3632,7
Arizona,2010-11-01,182041,NA,9818,3808,7
Arizona,2010-12-01,182748,NA,9950,3860,7
Arizona,2011-02-01,190657,NA,10155,4003,7
Arizona,2011-07-01,218965,NA,10839,4445,7
Arizona,2011-08-01,227073,NA,11037,4591,7
Arizona,2011-09-01,230753,NA,11210,4705,7
Arizona,2011-10-01,230991,NA,11301,4760,7
Arizona,2012-05-01,240986,18716,12171,5201,7
Arizona,2012-06-01,241051,NA,12264,5245,7
Arizona,2012-07-01,242630,19379,12372,5306,7
Arizona,2012-08-01,244195,19894,12497,5360,7
Arizona,2012-09-01,249212,20443,12601,5447,7
Arizona,2012-11-01,252468,20579,12955,5614,7
Arizona,2012-12-01,252468,20579,13045,5659,7
Arizona,2013-01-01,252468,20665,13177,5705,7
Arizona,2013-03-01,253287,21675,13390,5812,7
Arizona,2013-04-01,256982,22584,13518,5879,7
Arizona,2013-06-01,262487,23461,13944,6083,7
Arizona,2013-07-01,265823,23688,14008,6137,7
Arizona,2013-08-01,268168,23897,14085,6180,7
Arizona,2013-11-01,269127,24193,14456,6374,7
Arizona,2013-12-01,269382,24316,14575,6425,7
Arizona,2014-05-01,274657,25069,15160,6750,7
Arizona,2014-08-01,278451,26087,15628,6879,7
Arizona,2014-09-01,278782,26337,15741,6930,7
Arizona,2014-10-01,279999,27116,15880,7010,7
Arizona,2014-11-01,280433,28210,15964,7080,7
Arizona,2014-12-01,281079,28804,16051,7128,7
Arizona,2015-01-01,281808,29263,16121,7168,7
Arizona,2015-02-01,282734,29602,16318,7273,7
Arizona,2015-03-01,282738,29656,16570,7375,7
Arizona,2015-04-01,282740,29839,16696,7435,7
Arizona,2015-05-01,283420,30103,16813,7435,7
Arizona,2015-06-01,283422,30385,16926,7552,7
Arizona,2015-09-01,291886,32348,17422,7857,7
Arizona,2015-11-01,299313,33303,17681,8025,7
Arizona,2015-12-01,299785,34223,17816,8097,7
Arizona,2016-01-01,300353,34907,17965,8166,7
Arizona,2016-02-01,301273,35797,18078,8235,7
Arizona,2016-03-01,302794,36376,18210,8319,7
Arizona,2016-11-01,318633,39896,19578,9067,7
Arizona,2016-12-01,322401,40271,19821,9195,7
Arizona,2017-02-01,324942,40980,20112,9331,7
Arizona,2017-03-01,324942,40980,20112,9331,7
Arizona,2017-04-01,326286,41628,20522,9523,7
Arizona,2017-05-01,328131,42231,20660,9592,7
Arizona,2017-07-01,330409,42816,21097,9797,7
Arizona,2017-08-01,331161,43315,21379,9928,7
Arizona,2017-09-01,332314,43485,21619,10038,7
Arizona,2017-10-01,333935,43662,21894,10172,7
Arizona,2017-12-01,334968,44313,22339,10333,7
Arizona,2018-01-01,337899,44692,22555,10361,7
Arizona,2018-03-01,340330,46147,23127,10774,7
Arizona,2018-04-01,342378,47062,23340,10887,7
Arizona,2018-05-01,344635,47561,23579,11014,7
Arizona,2018-07-01,345914,48279,23948,11213,7
Arizona,2018-09-01,349551,49150,24405,11422,7
Arizona,2018-10-01,351209,49494,24531,11504,7
Arizona,2018-12-01,353361,49916,24881,11689,7
Arizona,2019-01-01,354393,50467,25232,11825,7
Arizona,2019-02-01,355346,50849,25461,11925,7
Arizona,2019-03-01,356450,51077,25662,11988,7
Arizona,2019-04-01,357448,51407,25827,12066,7
Arizona,2019-05-01,359035,51650,26145,12159,7
Arizona,2019-06-01,359933,51931,26331,12245,7
Arizona,2019-08-01,362149,52625,26720,12421,7
Arizona,2019-09-01,363504,53001,26888,12520,7
Arizona,2019-10-01,364797,53400,27082,12631,7
Arizona,2019-11-01,366237,53701,27273,12726,7
Arizona,2020-01-01,368256,54255,27521,12888,7
Arizona,2020-02-01,369518,54701,27649,12941,7
Arizona,2020-03-01,370570,54969,27814,13008,7
Arizona,2020-04-01,371215,55310,28009,13102,7
Arizona,2020-05-01,371653,55559,28223,13200,7
Arizona,2020-06-01,372038,55918,28407,13288,7
Arizona,2020-07-01,372728,56178,28597,13376,7
Arizona,2020-09-01,374129,56760,28980,13567,7
Arizona,2020-10-01,374917,57043,29149,13655,7
Arizona,2020-11-01,375612,57322,29269,13723,7
Arizona,2020-12-01,376677,57594,29387,13800,7
Arizona,2021-01-01,377244,57853,29511,13871,7
Arizona,2021-02-01,377975,58112,29638,13940,7
Arizona,2021-03-01,378940,58444,29813,14036,7
Arizona,2021-04-01,379840,58774,29974,14124,7
Arizona,2021-06-01,381298,59203,30287,14279,7
Arizona,2021-07-01,382187,59546,30440,14363,7
Arizona,2021-08-01,382666,59807,30507,14415,7
Arizona,2021-10-01,384072,60477,30836,14581,7
Arizona,2022-11-01,395522,64075,32785,15657,7
Arizona,2023-08-01,405176,66879,33889,16167,7
Arizona,2024-02-01,411352,68516,34576,16479,7
Arizona,2024-10-01,420366,70917,35660,17001,7
Arizona,2024-11-01,421239,71111,35817,17072,7
Arizona,2025-01-01,422630,71532,36085,17176,7
Arizona,2025-03-01,425150,72112,36314,17289,7
Arizona,2025-04-01,426340,72433,36481,17367,7
Arizona,2025-06-01,428507,73008,36760,17488,7
Arkansas,2001-07-01,9957,NA,72,7,1
Arkansas,2001-08-01,10211,NA,75,7,1
Arkansas,2001-09-01,10211,NA,75,7,1
Arkansas,2001-11-01,11275,NA,87,10,1
